,season,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,date
52,Winter,7,0,Monday,1,Best,0.14,0.1364,0.5,0.194,1,63,64,2011-01-03
53,Winter,8,0,Monday,1,Best,0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03
54,Winter,9,0,Monday,1,Best,0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03
55,Winter,10,0,Monday,1,Best,0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03
56,Winter,11,0,Monday,1,Best,0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03
57,Winter,12,0,Monday,1,Best,0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03
58,Winter,13,0,Monday,1,Best,0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03
59,Winter,14,0,Monday,1,Best,0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03
60,Winter,15,0,Monday,1,Best,0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03
61,Winter,16,0,Monday,1,Best,0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03
62,Winter,17,0,Monday,1,Best,0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03
63,Winter,18,0,Monday,1,Best,0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03
64,Winter,19,0,Monday,1,Best,0.2,0.2576,0.47,0.0,8,102,110,2011-01-03
65,Winter,20,0,Monday,1,Best,0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03
66,Winter,21,0,Monday,1,Best,0.18,0.197,0.64,0.1343,3,49,52,2011-01-03
67,Winter,22,0,Monday,1,Best,0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03
68,Winter,23,0,Monday,1,Best,0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03
69,Winter,0,0,Tuesday,1,Best,0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04
70,Winter,1,0,Tuesday,1,Best,0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04
71,Winter,2,0,Tuesday,1,Best,0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04
72,Winter,4,0,Tuesday,1,Best,0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04
73,Winter,5,0,Tuesday,1,Best,0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04
74,Winter,6,0,Tuesday,1,Best,0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04
75,Winter,7,0,Tuesday,1,Best,0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04
76,Winter,8,0,Tuesday,1,Best,0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04
77,Winter,9,0,Tuesday,1,Best,0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04
78,Winter,10,0,Tuesday,1,Okay,0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04
79,Winter,11,0,Tuesday,1,Best,0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04
80,Winter,12,0,Tuesday,1,Best,0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04
81,Winter,13,0,Tuesday,1,Best,0.24,0.2273,0.56,0.194,18,79,97,2011-01-04
82,Winter,14,0,Tuesday,1,Best,0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04
83,Winter,15,0,Tuesday,1,Best,0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04
84,Winter,16,0,Tuesday,1,Best,0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04
85,Winter,17,0,Tuesday,1,Best,0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04
86,Winter,18,0,Tuesday,1,Best,0.26,0.2576,0.48,0.194,3,179,182,2011-01-04
87,Winter,19,0,Tuesday,1,Best,0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04
88,Winter,20,0,Tuesday,1,Best,0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04
89,Winter,21,0,Tuesday,1,Best,0.22,0.2727,0.64,0.0,0,48,48,2011-01-04
90,Winter,22,0,Tuesday,1,Best,0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04
91,Winter,23,0,Tuesday,1,Best,0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04
92,Winter,0,0,Wednesday,1,Best,0.2,0.2576,0.64,0.0,0,6,6,2011-01-05
93,Winter,1,0,Wednesday,1,Best,0.16,0.197,0.74,0.0896,0,6,6,2011-01-05
94,Winter,2,0,Wednesday,1,Best,0.16,0.197,0.74,0.0896,0,2,2,2011-01-05
95,Winter,4,0,Wednesday,1,Best,0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05
96,Winter,5,0,Wednesday,1,Best,0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05
97,Winter,6,0,Wednesday,1,Best,0.2,0.197,0.47,0.2239,0,33,33,2011-01-05
98,Winter,7,0,Wednesday,1,Best,0.18,0.1818,0.43,0.194,1,87,88,2011-01-05
99,Winter,8,0,Wednesday,1,Best,0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05
100,Winter,9,0,Wednesday,1,Best,0.22,0.197,0.37,0.3284,6,109,115,2011-01-05
101,Winter,10,0,Wednesday,1,Best,0.22,0.197,0.37,0.3284,4,53,57,2011-01-05
102,Winter,11,0,Wednesday,1,Best,0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05
103,Winter,12,0,Wednesday,1,Best,0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05
104,Winter,13,0,Wednesday,1,Best,0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05
105,Winter,14,0,Wednesday,1,Best,0.3,0.2879,0.28,0.194,10,52,62,2011-01-05
106,Winter,15,0,Wednesday,1,Best,0.3,0.2879,0.28,0.194,7,55,62,2011-01-05
107,Winter,16,0,Wednesday,1,Best,0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05
108,Winter,17,0,Wednesday,1,Best,0.24,0.2273,0.38,0.194,4,186,190,2011-01-05
109,Winter,18,0,Wednesday,1,Best,0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05
110,Winter,19,0,Wednesday,1,Best,0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05
111,Winter,20,0,Wednesday,1,Best,0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05
112,Winter,21,0,Wednesday,1,Best,0.2,0.197,0.51,0.194,3,40,43,2011-01-05
113,Winter,22,0,Wednesday,1,Best,0.18,0.197,0.55,0.1343,1,41,42,2011-01-05
114,Winter,23,0,Wednesday,1,Best,0.2,0.2576,0.47,0.0,1,18,19,2011-01-05
115,Winter,0,0,Thursday,1,Best,0.18,0.2424,0.55,0.0,0,11,11,2011-01-06
116,Winter,1,0,Thursday,1,Best,0.16,0.2273,0.64,0.0,0,4,4,2011-01-06
117,Winter,2,0,Thursday,1,Best,0.16,0.2273,0.64,0.0,0,2,2,2011-01-06
118,Winter,4,0,Thursday,1,Okay,0.16,0.197,0.64,0.0896,0,1,1,2011-01-06
119,Winter,5,0,Thursday,1,Okay,0.14,0.1818,0.69,0.0896,0,4,4,2011-01-06
120,Winter,6,0,Thursday,1,Okay,0.14,0.1667,0.63,0.1045,0,36,36,2011-01-06
121,Winter,7,0,Thursday,1,Okay,0.16,0.2273,0.59,0.0,0,95,95,2011-01-06
122,Winter,8,0,Thursday,1,Best,0.16,0.2273,0.59,0.0,3,216,219,2011-01-06
123,Winter,9,0,Thursday,1,Okay,0.18,0.2424,0.51,0.0,6,116,122,2011-01-06
124,Winter,10,0,Thursday,1,Best,0.2,0.2576,0.47,0.0,3,42,45,2011-01-06
125,Winter,11,0,Thursday,1,Best,0.22,0.2576,0.44,0.0896,2,57,59,2011-01-06
126,Winter,12,0,Thursday,1,Best,0.26,0.2879,0.35,0.0,6,78,84,2011-01-06
127,Winter,13,0,Thursday,1,Best,0.26,0.2727,0.35,0.1045,12,55,67,2011-01-06
128,Winter,14,0,Thursday,1,Best,0.28,0.2727,0.36,0.1642,11,59,70,2011-01-06
129,Winter,15,0,Thursday,1,Best,0.28,0.2727,0.36,0.0,8,54,62,2011-01-06
130,Winter,16,0,Thursday,1,Best,0.26,0.2576,0.38,0.1642,12,74,86,2011-01-06
131,Winter,17,0,Thursday,1,Best,0.22,0.2273,0.51,0.1642,9,163,172,2011-01-06
132,Winter,18,0,Thursday,1,Best,0.22,0.2273,0.51,0.1343,5,158,163,2011-01-06
133,Winter,19,0,Thursday,1,Best,0.22,0.2576,0.55,0.0896,3,109,112,2011-01-06
134,Winter,20,0,Thursday,1,Best,0.2,0.2121,0.51,0.1642,3,66,69,2011-01-06
135,Winter,21,0,Thursday,1,Okay,0.22,0.2121,0.55,0.2239,0,48,48,2011-01-06
136,Winter,22,0,Thursday,1,Okay,0.22,0.2121,0.51,0.2836,1,51,52,2011-01-06
137,Winter,23,0,Thursday,1,Okay,0.2,0.197,0.59,0.194,4,19,23,2011-01-06
138,Winter,0,0,Friday,1,Okay,0.2,0.197,0.64,0.194,4,13,17,2011-01-07
139,Winter,1,0,Friday,1,Okay,0.2,0.197,0.69,0.2239,2,5,7,2011-01-07
140,Winter,2,0,Friday,1,Okay,0.2,0.197,0.69,0.2239,0,1,1,2011-01-07
141,Winter,4,0,Friday,1,Okay,0.2,0.2121,0.69,0.1343,0,1,1,2011-01-07
142,Winter,5,0,Friday,1,Bad,0.22,0.2727,0.55,0.0,0,5,5,2011-01-07
143,Winter,6,0,Friday,1,Okay,0.2,0.2576,0.69,0.0,8,26,34,2011-01-07
144,Winter,7,0,Friday,1,Best,0.2,0.2121,0.69,0.1343,8,76,84,2011-01-07
145,Winter,8,0,Friday,1,Best,0.2,0.197,0.51,0.2537,20,190,210,2011-01-07
146,Winter,9,0,Friday,1,Best,0.2,0.1818,0.47,0.2985,9,125,134,2011-01-07
147,Winter,10,0,Friday,1,Best,0.22,0.197,0.37,0.3284,16,47,63,2011-01-07
148,Winter,11,0,Friday,1,Okay,0.2,0.197,0.4,0.2239,19,48,67,2011-01-07
149,Winter,12,0,Friday,1,Okay,0.2,0.197,0.37,0.2537,9,50,59,2011-01-07
150,Winter,13,0,Friday,1,Okay,0.2,0.1818,0.37,0.2836,9,64,73,2011-01-07
151,Winter,14,0,Friday,1,Okay,0.2,0.197,0.4,0.2537,7,43,50,2011-01-07
152,Winter,15,0,Friday,1,Okay,0.2,0.2121,0.37,0.1642,9,63,72,2011-01-07
153,Winter,16,0,Friday,1,Okay,0.2,0.2121,0.37,0.1642,5,82,87,2011-01-07
154,Winter,17,0,Friday,1,Okay,0.2,0.2576,0.37,0.0,9,178,187,2011-01-07
155,Winter,18,0,Friday,1,Best,0.2,0.2273,0.4,0.0896,7,116,123,2011-01-07
156,Winter,19,0,Friday,1,Best,0.16,0.197,0.55,0.0896,3,92,95,2011-01-07
157,Winter,20,0,Friday,1,Best,0.18,0.2121,0.47,0.1045,1,50,51,2011-01-07
158,Winter,21,0,Friday,1,Best,0.18,0.197,0.47,0.1343,0,39,39,2011-01-07
159,Winter,22,0,Friday,1,Okay,0.18,0.197,0.43,0.1642,2,34,36,2011-01-07
160,Winter,23,0,Friday,1,Okay,0.18,0.197,0.51,0.1642,1,14,15,2011-01-07
161,Winter,0,0,Saturday,0,Okay,0.18,0.197,0.51,0.1642,1,24,25,2011-01-08
162,Winter,1,0,Saturday,0,Okay,0.18,0.2121,0.55,0.0896,1,15,16,2011-01-08
163,Winter,2,0,Saturday,0,Okay,0.18,0.2424,0.55,0.0,3,13,16,2011-01-08
164,Winter,3,0,Saturday,0,Bad,0.18,0.197,0.55,0.1642,0,7,7,2011-01-08
165,Winter,4,0,Saturday,0,Bad,0.18,0.197,0.55,0.1642,0,1,1,2011-01-08
166,Winter,5,0,Saturday,0,Okay,0.16,0.1667,0.74,0.1642,0,5,5,2011-01-08
167,Winter,6,0,Saturday,0,Okay,0.16,0.1667,0.74,0.1642,0,2,2,2011-01-08
168,Winter,7,0,Saturday,0,Okay,0.16,0.1818,0.74,0.1045,1,8,9,2011-01-08
169,Winter,8,0,Saturday,0,Bad,0.16,0.1818,0.93,0.1045,0,15,15,2011-01-08
170,Winter,9,0,Saturday,0,Bad,0.16,0.1818,0.93,0.1045,0,20,20,2011-01-08
171,Winter,10,0,Saturday,0,Okay,0.18,0.197,0.8,0.1642,5,56,61,2011-01-08
172,Winter,11,0,Saturday,0,Okay,0.2,0.1818,0.69,0.3881,2,60,62,2011-01-08
173,Winter,12,0,Saturday,0,Okay,0.2,0.1818,0.59,0.3582,8,90,98,2011-01-08
174,Winter,13,0,Saturday,0,Best,0.2,0.1818,0.44,0.3284,7,95,102,2011-01-08
175,Winter,14,0,Saturday,0,Best,0.2,0.1667,0.32,0.4925,12,83,95,2011-01-08
176,Winter,15,0,Saturday,0,Best,0.2,0.1667,0.32,0.4478,5,69,74,2011-01-08
177,Winter,16,0,Saturday,0,Best,0.18,0.1364,0.29,0.4478,8,68,76,2011-01-08
178,Winter,17,0,Saturday,0,Best,0.16,0.1212,0.37,0.5522,5,64,69,2011-01-08
179,Winter,18,0,Saturday,0,Best,0.14,0.1212,0.39,0.2985,3,52,55,2011-01-08
180,Winter,19,0,Saturday,0,Best,0.14,0.1212,0.36,0.2537,4,26,30,2011-01-08
181,Winter,20,0,Saturday,0,Best,0.12,0.1212,0.36,0.2537,0,28,28,2011-01-08
182,Winter,21,0,Saturday,0,Best,0.12,0.1061,0.39,0.3582,2,35,37,2011-01-08
183,Winter,22,0,Saturday,0,Best,0.12,0.1061,0.36,0.3881,1,33,34,2011-01-08
184,Winter,23,0,Saturday,0,Best,0.1,0.0606,0.39,0.4478,0,22,22,2011-01-08
185,Winter,0,0,Sunday,0,Best,0.1,0.0758,0.42,0.3881,1,24,25,2011-01-09
186,Winter,1,0,Sunday,0,Best,0.1,0.0606,0.42,0.4627,0,12,12,2011-01-09
187,Winter,2,0,Sunday,0,Best,0.1,0.0606,0.46,0.4627,0,11,11,2011-01-09
188,Winter,3,0,Sunday,0,Best,0.1,0.0758,0.46,0.4179,0,4,4,2011-01-09
189,Winter,4,0,Sunday,0,Best,0.08,0.0909,0.53,0.194,0,1,1,2011-01-09
190,Winter,5,0,Sunday,0,Best,0.08,0.0909,0.53,0.194,0,1,1,2011-01-09
191,Winter,6,0,Sunday,0,Best,0.1,0.0909,0.49,0.2836,0,1,1,2011-01-09
192,Winter,7,0,Sunday,0,Best,0.08,0.0909,0.53,0.194,1,5,6,2011-01-09
193,Winter,8,0,Sunday,0,Best,0.1,0.0909,0.49,0.2836,0,10,10,2011-01-09
194,Winter,9,0,Sunday,0,Best,0.12,0.0758,0.46,0.5224,0,19,19,2011-01-09
195,Winter,10,0,Sunday,0,Best,0.14,0.1061,0.43,0.3881,0,49,49,2011-01-09
196,Winter,11,0,Sunday,0,Best,0.16,0.1212,0.4,0.5224,2,47,49,2011-01-09
197,Winter,12,0,Sunday,0,Best,0.18,0.1364,0.37,0.4478,4,79,83,2011-01-09
198,Winter,13,0,Sunday,0,Best,0.2,0.1667,0.34,0.4478,6,69,75,2011-01-09
199,Winter,14,0,Sunday,0,Best,0.22,0.1818,0.32,0.4627,8,64,72,2011-01-09
200,Winter,15,0,Sunday,0,Best,0.22,0.197,0.35,0.3582,5,77,82,2011-01-09
201,Winter,16,0,Sunday,0,Best,0.2,0.1667,0.34,0.4478,13,79,92,2011-01-09
202,Winter,17,0,Sunday,0,Best,0.18,0.1515,0.37,0.3881,3,59,62,2011-01-09
203,Winter,18,0,Sunday,0,Best,0.16,0.1364,0.4,0.3284,4,44,48,2011-01-09
204,Winter,19,0,Sunday,0,Best,0.16,0.1364,0.43,0.3284,1,40,41,2011-01-09
205,Winter,20,0,Sunday,0,Best,0.14,0.1212,0.46,0.2537,0,38,38,2011-01-09
206,Winter,21,0,Sunday,0,Best,0.14,0.1061,0.46,0.4179,1,19,20,2011-01-09
207,Winter,22,0,Sunday,0,Best,0.14,0.1212,0.46,0.2985,5,10,15,2011-01-09
208,Winter,23,0,Sunday,0,Best,0.12,0.1364,0.5,0.194,0,6,6,2011-01-09
209,Winter,0,0,Monday,1,Best,0.12,0.1212,0.5,0.2836,2,3,5,2011-01-10
210,Winter,1,0,Monday,1,Best,0.12,0.1212,0.5,0.2836,1,0,1,2011-01-10
211,Winter,2,0,Monday,1,Best,0.12,0.1212,0.5,0.2239,0,3,3,2011-01-10
212,Winter,3,0,Monday,1,Best,0.12,0.1212,0.5,0.2239,0,1,1,2011-01-10
213,Winter,4,0,Monday,1,Best,0.1,0.1212,0.54,0.1343,1,2,3,2011-01-10
214,Winter,5,0,Monday,1,Best,0.1,0.1061,0.54,0.2537,0,3,3,2011-01-10
215,Winter,6,0,Monday,1,Best,0.12,0.1212,0.5,0.2836,0,31,31,2011-01-10
216,Winter,7,0,Monday,1,Best,0.12,0.1212,0.5,0.2239,2,75,77,2011-01-10
217,Winter,8,0,Monday,1,Okay,0.12,0.1212,0.5,0.2836,4,184,188,2011-01-10
218,Winter,9,0,Monday,1,Okay,0.14,0.1212,0.5,0.2537,2,92,94,2011-01-10
219,Winter,10,0,Monday,1,Okay,0.14,0.1212,0.5,0.2985,0,31,31,2011-01-10
220,Winter,11,0,Monday,1,Okay,0.16,0.1364,0.47,0.2836,2,28,30,2011-01-10
221,Winter,12,0,Monday,1,Okay,0.2,0.1818,0.4,0.2836,5,47,52,2011-01-10
222,Winter,13,0,Monday,1,Okay,0.2,0.1818,0.4,0.2836,4,50,54,2011-01-10
223,Winter,14,0,Monday,1,Okay,0.2,0.197,0.4,0.2239,0,47,47,2011-01-10
224,Winter,15,0,Monday,1,Okay,0.2,0.197,0.4,0.2239,2,43,45,2011-01-10
225,Winter,16,0,Monday,1,Best,0.2,0.2121,0.4,0.1343,4,70,74,2011-01-10
226,Winter,17,0,Monday,1,Best,0.2,0.2273,0.4,0.1045,4,174,178,2011-01-10
227,Winter,18,0,Monday,1,Best,0.2,0.197,0.4,0.2239,1,154,155,2011-01-10
228,Winter,19,0,Monday,1,Best,0.16,0.1667,0.47,0.1642,3,92,95,2011-01-10
229,Winter,20,0,Monday,1,Best,0.16,0.1667,0.5,0.1642,1,73,74,2011-01-10
230,Winter,21,0,Monday,1,Best,0.14,0.1364,0.59,0.194,1,37,38,2011-01-10
231,Winter,22,0,Monday,1,Best,0.14,0.1515,0.59,0.1642,2,22,24,2011-01-10
232,Winter,23,0,Monday,1,Best,0.14,0.1515,0.59,0.1642,0,18,18,2011-01-10
233,Winter,0,0,Tuesday,1,Best,0.14,0.1667,0.59,0.1045,2,10,12,2011-01-11
234,Winter,1,0,Tuesday,1,Best,0.14,0.1515,0.59,0.1642,0,3,3,2011-01-11
235,Winter,2,0,Tuesday,1,Okay,0.16,0.1515,0.55,0.194,0,3,3,2011-01-11
236,Winter,5,0,Tuesday,1,Okay,0.16,0.1818,0.55,0.1343,0,6,6,2011-01-11
237,Winter,6,0,Tuesday,1,Okay,0.16,0.1818,0.55,0.1343,0,27,27,2011-01-11
238,Winter,7,0,Tuesday,1,Okay,0.16,0.2273,0.55,0.0,2,97,99,2011-01-11
239,Winter,8,0,Tuesday,1,Okay,0.18,0.2121,0.51,0.0896,3,214,217,2011-01-11
240,Winter,9,0,Tuesday,1,Okay,0.18,0.197,0.51,0.1642,3,127,130,2011-01-11
241,Winter,10,0,Tuesday,1,Okay,0.2,0.2121,0.51,0.1642,3,51,54,2011-01-11
242,Winter,11,0,Tuesday,1,Okay,0.2,0.2121,0.47,0.1343,4,31,35,2011-01-11
243,Winter,12,0,Tuesday,1,Okay,0.2,0.2273,0.51,0.1045,2,55,57,2011-01-11
244,Winter,13,0,Tuesday,1,Okay,0.2,0.2273,0.59,0.0896,6,46,52,2011-01-11
245,Winter,14,0,Tuesday,1,Okay,0.2,0.2273,0.59,0.0896,3,60,63,2011-01-11
246,Winter,15,0,Tuesday,1,Okay,0.16,0.197,0.8,0.0896,2,45,47,2011-01-11
247,Winter,16,0,Tuesday,1,Okay,0.16,0.1515,0.86,0.2239,4,72,76,2011-01-11
248,Winter,17,0,Tuesday,1,Okay,0.16,0.1515,0.86,0.2239,6,130,136,2011-01-11
249,Winter,18,0,Tuesday,1,Bad,0.16,0.1818,0.93,0.1045,1,94,95,2011-01-11
250,Winter,19,0,Tuesday,1,Bad,0.16,0.2273,0.93,0.0,0,51,51,2011-01-11
251,Winter,20,0,Tuesday,1,Bad,0.16,0.1515,0.93,0.194,0,32,32,2011-01-11
252,Winter,21,0,Tuesday,1,Bad,0.16,0.197,0.86,0.0896,0,20,20,2011-01-11
253,Winter,22,0,Tuesday,1,Bad,0.16,0.1818,0.93,0.1045,1,28,29,2011-01-11
254,Winter,23,0,Tuesday,1,Bad,0.16,0.197,0.93,0.0896,1,18,19,2011-01-11
255,Winter,0,0,Wednesday,1,Okay,0.16,0.197,0.86,0.0896,0,7,7,2011-01-12
256,Winter,1,0,Wednesday,1,Okay,0.16,0.1818,0.86,0.1045,0,6,6,2011-01-12
257,Winter,2,0,Wednesday,1,Best,0.14,0.1515,0.86,0.1343,0,1,1,2011-01-12
258,Winter,5,0,Wednesday,1,Best,0.14,0.1515,0.86,0.1642,0,5,5,2011-01-12
259,Winter,6,0,Wednesday,1,Best,0.12,0.1515,0.93,0.1343,0,16,16,2011-01-12
260,Winter,7,0,Wednesday,1,Best,0.14,0.1515,0.69,0.1343,0,54,54,2011-01-12
261,Winter,8,0,Wednesday,1,Best,0.16,0.1667,0.59,0.1642,3,125,128,2011-01-12
262,Winter,9,0,Wednesday,1,Best,0.16,0.1364,0.59,0.3284,3,78,81,2011-01-12
263,Winter,10,0,Wednesday,1,Best,0.18,0.1818,0.55,0.2239,0,39,39,2011-01-12
264,Winter,11,0,Wednesday,1,Best,0.2,0.1818,0.51,0.3881,3,32,35,2011-01-12
265,Winter,12,0,Wednesday,1,Best,0.2,0.1515,0.47,0.5821,3,52,55,2011-01-12
266,Winter,13,0,Wednesday,1,Best,0.22,0.197,0.44,0.3582,0,49,49,2011-01-12
267,Winter,14,0,Wednesday,1,Best,0.2,0.1818,0.47,0.3284,0,44,44,2011-01-12
268,Winter,15,0,Wednesday,1,Best,0.2,0.1667,0.47,0.4179,1,48,49,2011-01-12
269,Winter,16,0,Wednesday,1,Best,0.22,0.197,0.44,0.3284,5,63,68,2011-01-12
270,Winter,17,0,Wednesday,1,Best,0.2,0.1818,0.47,0.3582,0,139,139,2011-01-12
271,Winter,18,0,Wednesday,1,Best,0.2,0.1515,0.47,0.5224,2,135,137,2011-01-12
